sale_id,sale_date,store_id,product_id,quantity,unit_price,unit_cost,revenue,cogs,gross_profit,loadshed_stage,loadshed_hours,was_loadshedding,loadshed_severity,sale_year,sale_month,sale_month_name,sale_day_of_week,is_weekend
TXN000001,2023-01-01,S005,P003,4,99.99,65.0,399.96,260.0,139.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000002,2023-01-01,S001,P008,4,69.99,45.0,279.96,180.0,99.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000003,2023-01-01,S004,P006,3,44.99,28.0,134.97,84.0,50.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000004,2023-01-01,S001,P006,2,44.99,28.0,89.98,56.0,33.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000005,2023-01-01,S004,P006,4,44.99,28.0,179.96,112.0,67.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000006,2023-01-01,S004,P005,5,62.99,42.0,314.95,210.0,104.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000007,2023-01-01,S004,P001,1,22.99,14.99,22.99,14.99,8.0,3,6,True,Medium,2023,1,January,Sunday,1
TXN000008,2023-01-01,S003,P006,3,44.99,28.0,134.97,84.0,50.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000009,2023-01-01,S004,P002,5,32.99,22.0,164.95,110.0,54.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000010,2023-01-01,S005,P001,4,22.99,14.99,91.96,59.96,32.0,3,6,True,Medium,2023,1,January,Sunday,1
TXN000011,2023-01-01,S001,P007,2,84.99,55.0,169.98,110.0,59.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000012,2023-01-01,S003,P009,5,29.99,18.0,149.95,90.0,59.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000013,2023-01-01,S004,P008,1,69.99,45.0,69.99,45.0,24.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000014,2023-01-01,S003,P004,5,54.99,38.0,274.95,190.0,84.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000015,2023-01-01,S003,P003,4,99.99,65.0,399.96,260.0,139.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000016,2023-01-01,S001,P008,1,69.99,45.0,69.99,45.0,24.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000017,2023-01-01,S002,P010,2,32.99,20.0,65.98,40.0,25.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000018,2023-01-01,S005,P005,1,62.99,42.0,62.99,42.0,20.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000019,2023-01-01,S004,P009,1,29.99,18.0,29.99,18.0,11.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000020,2023-01-01,S001,P004,4,54.99,38.0,219.96,152.0,67.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000021,2023-01-01,S002,P002,4,32.99,22.0,131.96,88.0,43.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000022,2023-01-01,S005,P005,3,62.99,42.0,188.97,126.0,62.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000023,2023-01-01,S004,P007,4,84.99,55.0,339.96,220.0,119.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000024,2023-01-01,S004,P004,5,54.99,38.0,274.95,190.0,84.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000025,2023-01-01,S004,P003,2,99.99,65.0,199.98,130.0,69.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000026,2023-01-01,S005,P010,2,32.99,20.0,65.98,40.0,25.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000027,2023-01-01,S003,P002,4,32.99,22.0,131.96,88.0,43.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000028,2023-01-01,S005,P006,3,44.99,28.0,134.97,84.0,50.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000029,2023-01-01,S003,P001,3,22.99,14.99,68.97,44.97,24.0,3,6,True,Medium,2023,1,January,Sunday,1
TXN000030,2023-01-01,S005,P010,4,32.99,20.0,131.96,80.0,51.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000031,2023-01-01,S004,P003,5,99.99,65.0,499.95,325.0,174.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000032,2023-01-01,S003,P008,3,69.99,45.0,209.97,135.0,74.97,3,6,True,Medium,2023,1,January,Sunday,1
TXN000033,2023-01-01,S005,P009,4,29.99,18.0,119.96,72.0,47.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000034,2023-01-01,S003,P008,2,69.99,45.0,139.98,90.0,49.98,3,6,True,Medium,2023,1,January,Sunday,1
TXN000035,2023-01-01,S005,P004,4,54.99,38.0,219.96,152.0,67.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000036,2023-01-01,S004,P004,1,54.99,38.0,54.99,38.0,16.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000037,2023-01-01,S004,P006,4,44.99,28.0,179.96,112.0,67.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000038,2023-01-01,S002,P007,4,84.99,55.0,339.96,220.0,119.96,3,6,True,Medium,2023,1,January,Sunday,1
TXN000039,2023-01-01,S002,P001,5,22.99,14.99,114.95,74.95,40.0,3,6,True,Medium,2023,1,January,Sunday,1
TXN000040,2023-01-01,S003,P010,1,32.99,20.0,32.99,20.0,12.99,3,6,True,Medium,2023,1,January,Sunday,1
TXN000041,2023-01-01,S001,P008,5,69.99,45.0,349.95,225.0,124.95,3,6,True,Medium,2023,1,January,Sunday,1
TXN000042,2023-01-01,S001,P008,2,69.99,45.0,139.98,90.0,49.98,3,6,True,Medium,2023,1,January,Sunday,1
